,Name,Album,Artist,mood
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,Disgusted
1,Jocelyn Flores,17,XXXTENTACION,Disgusted
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgusted
3,how to live,how to live,yaeow,Disgusted
4,It's You,YOU,Ali Gatie,Disgusted
5,Loosing Interest,Passion & Confusion,Timmies,Disgusted
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,Disgusted
7,Dead and Cold,Dead and Cold,ELIJAH MOON,Disgusted
8,Heather,Kid Krow,Conan Gray,Disgusted
9,Reckless,Reckless,Madison Beer,Disgusted
10,paradise,paradise,cliffe,Disgusted
11,Me Too,Me Too,April Jai,Disgusted
12,Six Feet Under,Six Feet Under,Billie Eilish,Disgusted
13,Circles,Hollywood's Bleeding,Post Malone,Disgusted
14,All Alone,All Alone,Sølace,Disgusted
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,Disgusted
16,Everybody Dies In Their Nightmares,17,XXXTENTACION,Disgusted
17,More to the Story,More to the Story,Kristina Nichol,Disgusted
18,talk with me (about it),talk with me (about it),Brvno,Disgusted
19,Heartbreak Anniversary,TAKE TIME,Giveon,Disgusted
20,i haven't let go,i haven't let go,RNAQ,Disgusted
21,idfc,deadroses,blackbear,Disgusted
22,Till Forever Falls Apart,Till Forever Falls Apart,Ashe,Disgusted
23,I Need You,I Need You,ORYL,Disgusted
24,Someone Like You,21,Adele,Disgusted
25,Train Wreck,Back from the Edge,James Arthur,Disgusted
26,When I'm Gone,When I'm Gone,Wikw,Disgusted
27,Goodbye,Goodbye,Rachel Lorin,Disgusted
28,bad ones,TOO YOUNG TO BE SAD,Tate McRae,Disgusted
29,Helluvaride,Helluvaride,Oceans Ahead,Disgusted
30,Arcade,Small Town Boy (Track By Track),Duncan Laurence,Disgusted
31,Therapy,Therapy,Tasty,Disgusted
32,r u ok,TOO YOUNG TO BE SAD,Tate McRae,Disgusted
33,Goddess Kinda Power - Acoustic Version,Goddess Kinda Power (Acoustic Version),Josefine,Disgusted
34,Horrors in the Dark,Horrors in the Dark,Sofi Gev,Disgusted
35,Like the Weather,Like the Weather,Hand Made House,Disgusted
