,Name,Album,Artist,mood
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fearful
1,Fearless,Fearless,Lost Sky,Fearful
2,Ark,Ark,Star Party,Fearful
3,Supersonic,Supersonic,Rob Gasser,Fearful
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fearful
5,Mortals,Mortals,Warriyo,Fearful
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fearful
7,Fearless,Fearless,Lost Sky,Fearful
8,Ark,Ark,Star Party,Fearful
9,Ark,Ark,Star Party,Fearful
10,Mortals,Mortals,Warriyo,Fearful
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fearful
12,Supersonic,Supersonic,Rob Gasser,Fearful
13,Feel Good,Feel Good,Syn Cole,Fearful
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fearful
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fearful
16,Mortals,Mortals,Warriyo,Fearful
17,Fearless,Fearless,Lost Sky,Fearful
18,Blank,Blank,Disfigure,Fearful
19,Symbolism,Symbolism,Electro-Light,Fearful
20,Symbolism,Symbolism,Electro-Light,Fearful
21,Blank,Blank,Disfigure,Fearful
22,On & On,On & On,Cartoon,Fearful
23,On & On,On & On,Cartoon,Fearful
24,Invincible,Invincible,Deaf Kev,Fearful
25,Invincible,Invincible,Deaf Kev,Fearful
26,Sky High,Sky High,Elektronomia,Fearful
27,Nekozilla,NCS: Infinity,Various Artists,Fearful
28,Firefly,Firefly,Jim Yosef,Fearful
29,Hope (Original Mix),Hope,Tobu,Fearful
