,Name,Album,Artist,mood
0,Leave The Door Open,Leave The Door Open,Bruno Mars,Happy
1,Dynamite,Dynamite (DayTime Version),BTS,Happy
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Happy
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,Happy
4,Perfect,÷ (Deluxe),Ed Sheeran,Happy
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,Happy
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,Happy
7,Dance Monkey,Dance Monkey,Tones And I,Happy
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,Happy
9,Sugar,V (Deluxe),Maroon 5,Happy
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,Happy
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,Happy
12,Useless,Useless,Two Friends,Happy
13,Roar,PRISM (Deluxe),Katy Perry,Happy
14,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,Happy
15,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,Happy
16,damn i love the rain,damn i love the rain,Gabriella Zauna,Happy
17,Intentions (feat. Quavo),Changes,Justin Bieber,Happy
18,That's What I Like,24K Magic,Bruno Mars,Happy
19,Makes Me Feel This Way,Makes Me Feel This Way,Nairobi,Happy
20,Lean On (feat. MØ & DJ Snake),Peace Is The Mission : Extended,Major Lazer,Happy
21,Barcelona,Barcelona,Andra,Happy
22,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,Happy
23,Hymn for the Weekend,A Head Full of Dreams,Coldplay,Happy
24,The Nights,Stories,Avicii,Happy
25,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Happy
26,I Feel It Coming,Starboy,The Weeknd,Happy
27,No Lie,No Lie,Sean Paul,Happy
28,All of Me,Love In The Future (Expanded Edition),John Legend,Happy
29,Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra,Happy
30,Cheap Thrills (feat. Sean Paul),This Is Acting (Deluxe Version),Sia,Happy
31,Don't Start Now,Future Nostalgia,Dua Lipa,Happy
32,On The Floor,Love?,Jennifer Lopez,Happy
33,Closer,Closer,The Chainsmokers,Happy
34,The Real Slim Shady,The Marshall Mathers LP,Eminem,Happy
35,2002,2002,Anne-Marie,Happy
36,Sweater Weather,I Love You.,The Neighbourhood,Happy
37,Better,Better,Khalid,Happy
38,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,Happy
39,Adventure of a Lifetime,A Head Full of Dreams,Coldplay,Happy
40,It's My Life,Crush,Bon Jovi,Happy
41,Yummy,Yummy,Justin Bieber,Happy
42,24K Magic,24K Magic,Bruno Mars,Happy
43,Physical,Future Nostalgia,Dua Lipa,Happy
44,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,Happy
45,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,Happy
46,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II (Deluxe Edition),Gym Class Heroes,Happy
47,Wake Me Up,TRUE,Avicii,Happy
48,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,Happy
49,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,Happy
50,Something Just Like This,Something Just Like This,The Chainsmokers,Happy
51,Waiting For Love,Stories,Avicii,Happy
52,Eenie Meenie,Eenie Meenie,Sean Kingston,Happy
53,Watermelon Sugar,Fine Line,Harry Styles,Happy
54,Night Changes,FOUR (Deluxe),One Direction,Happy
55,Say So,Hot Pink,Doja Cat,Happy
56,Electric,Electric,Katy Perry,Happy
57,Higher Power,Higher Power,Coldplay,Happy
58,My Head & My Heart,Heaven & Hell,Ava Max,Happy
59,Hold On,Hold On,Justin Bieber,Happy
60,Follow You,Follow You / Cutthroat,Imagine Dragons,Happy
61,BED,BED,Joel Corry,Happy
62,Run,Run,OneRepublic,Happy
63,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande,Happy
64,On The Ground,R,ROSÉ,Happy
65,Floating Through Space,Floating Through Space,Sia,Happy
66,Waves of Blue,Waves of Blue,Majid Jordan,Happy
67,Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine,Happy
68,Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer,Happy
69,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,Happy
70,Let’s Go Home Together,Let’s Go Home Together (Luca Schreiner Remix),Ella Henderson,Happy
71,Dancing On Dangerous (feat. Sofía Reyes),Dancing On Dangerous (feat. Sofía Reyes),Imanbek,Happy
72,Off My Face,Justice,Justin Bieber,Happy
73,Girl From Rio,Girl From Rio,Anitta,Happy
74,Treat People With Kindness,Fine Line,Harry Styles,Happy
75,Medicine,Medicine,James Arthur,Happy
76,Starstruck,Starstruck,Years & Years,Happy
77,Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia,Happy
78,Deserve You,Justice,Justin Bieber,Happy
79,Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit,Happy
