,Name,Album,Artist,mood
0,Heathens,Heathens,Twenty One Pilots,Neutral
1,Attention,Voicenotes,Charlie Puth,Neutral
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,Neutral
3,Believer,Evolve,Imagine Dragons,Neutral
4,Galway Girl,÷ (Deluxe),Ed Sheeran,Neutral
5,Faded,Different World,Alan Walker,Neutral
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,Neutral
7,Fight Song,Wildfire,Rachel Platten,Neutral
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,Neutral
9,Shape of You,÷ (Deluxe),Ed Sheeran,Neutral
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,Neutral
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,Neutral
12,Thunder,Evolve,Imagine Dragons,Neutral
13,Havana (feat. Young Thug),Camila,Camila Cabello,Neutral
14,Let Me Love You,Encore,DJ Snake,Neutral
15,Mama,Blue,Jonas Blue,Neutral
16,Alone,Different World,Alan Walker,Neutral
17,That's What I Like,24K Magic,Bruno Mars,Neutral
18,In the Name of Love,In the Name of Love,Martin Garrix,Neutral
19,Wolves,Wolves,Selena Gomez,Neutral
20,Mercy,Illuminate (Deluxe),Shawn Mendes,Neutral
21,How Long,Voicenotes,Charlie Puth,Neutral
22,Paris,Memories...Do Not Open,The Chainsmokers,Neutral
23,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,Neutral
24,Perfect,÷ (Deluxe),Ed Sheeran,Neutral
25,24K Magic,24K Magic,Bruno Mars,Neutral
26,Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber,Neutral
27,Look What You Made Me Do,reputation,Taylor Swift,Neutral
28,Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,Neutral
29,Starboy,Starboy,The Weeknd,Neutral
30,Perfect Strangers,Blue,Jonas Blue,Neutral
31,Issues,Nervous System,Julia Michaels,Neutral
32,My Way,My Way,Calvin Harris,Neutral
33,Ride,Blurryface,Twenty One Pilots,Neutral
34,More Than You Know,More Than You Know,Axwell /\ Ingrosso,Neutral
35,What About Us,Beautiful Trauma,P!nk,Neutral
36,Slow Hands,Flicker (Deluxe),Niall Horan,Neutral
37,Your Song,Phoenix (Deluxe Edition),Rita Ora,Neutral
38,Crying in the Club,Crying in the Club,Camila Cabello,Neutral
39,Fetish (feat. Gucci Mane),Fetish (feat. Gucci Mane),Selena Gomez,Neutral
40,Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,Neutral
41,...Ready For It?,reputation,Taylor Swift,Neutral
42,Castle on the Hill,÷ (Deluxe),Ed Sheeran,Neutral
43,Most Girls,Most Girls,Hailee Steinfeld,Neutral
44,Silence,Silence,Marshmello,Neutral
45,The Cure,The Cure,Lady Gaga,Neutral
46,Glorious (feat. Skylar Grey),GEMINI,Macklemore,Neutral
47,I Like Me Better,I met you when I was 18. (the playlist),Lauv,Neutral
48,I Feel It Coming,Starboy,The Weeknd,Neutral
49,Bon appétit,Witness (Deluxe),Katy Perry,Neutral
50,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Neutral
51,Now Or Never,hopeless fountain kingdom (Deluxe),Halsey,Neutral
52,1-800-273-8255,Everybody,Logic,Neutral
53,Instruction,Tell Me You Love Me (Deluxe),Demi Lovato,Neutral
54,OMG (feat. Quavo),OMG (feat. Quavo),Camila Cabello,Neutral
55,Unforgettable,Jungle Rules,French Montana,Neutral
56,Feel It Still,Woodstock,Portugal. The Man,Neutral
57,Too Much To Ask,Flicker (Deluxe),Niall Horan,Neutral
58,Green Light,Melodrama,Lorde,Neutral
59,Gorgeous,reputation,Taylor Swift,Neutral
60,Why,Why,Sabrina Carpenter,Neutral
61,Young Dumb & Broke,American Teen,Khalid,Neutral
62,Tell Me You Love Me,Tell Me You Love Me (Deluxe),Demi Lovato,Neutral
63,No More Sad Songs (feat. Machine Gun Kelly),Glory Days: The Platinum Edition,Little Mix,Neutral
64,Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,Neutral
65,Love So Soft,Meaning of Life,Kelly Clarkson,Neutral
66,Perfect Places,Melodrama,Lorde,Neutral
67,Good Old Days (feat. Kesha),GEMINI,Macklemore,Neutral
68,I Got You,Expectations,Bebe Rexha,Neutral
69,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,Neutral
70,Good Life (with G-Eazy & Kehlani),The Fate of the Furious: The Album,Various Artists,Neutral
71,Meant to Be (feat. Florida Georgia Line),Expectations,Bebe Rexha,Neutral
72,Homemade Dynamite - REMIX,Melodrama,Lorde,Neutral
73,Never Be the Same - Radio Edit,Camila,Camila Cabello,Neutral
74,I Miss You (feat. Julia Michaels),What Is Love? (Deluxe Edition),Clean Bandit,Neutral
75,Beautiful Trauma,Beautiful Trauma,P!nk,Neutral
76,Let You Down,Perception,NF,Neutral
77,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,Neutral
78,Him & I (with Halsey),The Beautiful & Damned,G-Eazy,Neutral
79,All Falls Down (feat. Juliander),Different World,Alan Walker,Neutral
80,Whatever It Takes,Evolve,Imagine Dragons,Neutral
81,At My Best (feat. Hailee Steinfeld),bloom,Machine Gun Kelly,Neutral
82,Miss You,Miss You,Louis Tomlinson,Neutral
83,Thumbs,EVOLution,Sabrina Carpenter,Neutral
84,Reminding Me,My Side of Your Story,Shawn Hook,Neutral
85,Finesse - Remix; feat. Cardi B,Finesse (Remix) [feat. Cardi B],Bruno Mars,Neutral
86,On The Loose,Flicker (Deluxe),Niall Horan,Neutral
87,Phases,Phases,ALMA,Neutral
88,Obsessed,Obsessed,Maggie Lindemann,Neutral
89,Just Hold On,Neon Future III,Steve Aoki,Neutral
90,Broken Glass,Waves,Rachel Platten,Neutral
91,Let Me,Icarus Falls,ZAYN,Neutral
92,Whatever You Want,Beautiful Trauma,P!nk,Neutral
93,Faking It (feat. Kehlani & Lil Yachty) - Radio Edit,Faking It (feat. Kehlani & Lil Yachty) [Radio Edit],Calvin Harris,Neutral
94,The Middle,The Middle,Zedd,Neutral
95,Complicated (feat. Kiiara),Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,Neutral
96,Want You Back,Youngblood (Deluxe),5 Seconds of Summer,Neutral
97,One Foot,What If Nothing,WALK THE MOON,Neutral
98,FRIENDS,Speak Your Mind (Deluxe),Anne-Marie,Neutral
99,Heat,Meaning of Life,Kelly Clarkson,Neutral
