,Name,Album,Artist,mood
0,good 4 u,SOUR,Olivia Rodrigo,Surprised
1,Todo De Ti,Todo De Ti,Rauw Alejandro,Surprised
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,Surprised
3,Yonaguni,Yonaguni,Bad Bunny,Surprised
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,Surprised
5,Beggin',Chosen,Måneskin,Surprised
6,deja vu,SOUR,Olivia Rodrigo,Surprised
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,Surprised
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Surprised
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,Surprised
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,Surprised
11,traitor,SOUR,Olivia Rodrigo,Surprised
12,Qué Más Pues?,Qué Más Pues?,J Balvin,Surprised
13,happier,SOUR,Olivia Rodrigo,Surprised
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,Surprised
15,drivers license,SOUR,Olivia Rodrigo,Surprised
16,Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,Surprised
17,Leave The Door Open,Leave The Door Open,Bruno Mars,Surprised
18,favorite crime,SOUR,Olivia Rodrigo,Surprised
19,RAPSTAR,Hall of Fame,Polo G,Surprised
20,Pareja Del Año,Pareja Del Año,Sebastian Yatra,Surprised
21,Build a Bitch,Build a Bitch,Bella Poarch,Surprised
22,Blinding Lights,After Hours,The Weeknd,Surprised
23,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,Surprised
24,ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin,Surprised
25,brutal,SOUR,Olivia Rodrigo,Surprised
26,"jealousy, jealousy",SOUR,Olivia Rodrigo,Surprised
27,AM,AM,Nio Garcia,Surprised
28,Dynamite,BE,BTS,Surprised
29,DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,Surprised
30,Dinero,Dinero,Trinidad Cardona,Surprised
31,Watermelon Sugar,Fine Line,Harry Styles,Surprised
32,Fiel - Remix,Fiel (Remix),Wisin,Surprised
33,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,Surprised
34,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,Surprised
35,Heartbreak Anniversary,TAKE TIME,Giveon,Surprised
36,Fiel,Los Legendarios 001,Los Legendarios,Surprised
37,2/Catorce,2/Catorce,Rauw Alejandro,Surprised
38,The Business,The Business,Tiësto,Surprised
39,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,Surprised
40,Mood (feat. iann dior),El Dorado,24kGoldn,Surprised
41,Save Your Tears,After Hours,The Weeknd,Surprised
42,Rasputin,Rasputin,Majestic,Surprised
43,Your Love (9PM),Your Love (9PM),ATB,Surprised
44,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,Surprised
45,enough for you,SOUR,Olivia Rodrigo,Surprised
46,Botella Tras Botella,Botella Tras Botella,Gera MX,Surprised
47,EL MAKINON,KG0516,KAROL G,Surprised
48,Lost Cause,Lost Cause,Billie Eilish,Surprised
49,Miénteme,Miénteme,TINI,Surprised
